"site","code","subplot","sample","stigpall","apharudi","aphacaro","aphafulv","bracdepi","camppenn","campamer","campchro","campsubb","campnear","cremminu","formsubs","lasialie","lasiumbr","monomini","monoamer","myrmlati","myrmpine","myrmpunc","myrmspat","nylafais","ponepenn","prenimpa","procsila","struclyp","struohio","pyraorna","strurost","solemole","stenmeri","stenbrev","stendiec","stenimpa","stenschm","stenunkn","tapisess","temnlong","temncurv","site_name","utm_n","utm_e","n","e","elevation_m","sample_x","sample_y"
"CATA","CATALS04C1","C",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311338.5,3939952.5
"CATA","CATALS04C2","C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311347.5,3939952.5
"CATA","CATALS04C3","C",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311338.5,3939943.5
"CATA","CATALS04C4","C",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311347.5,3939943.5
"CATA","CATALS04D1","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311378.5,3939952.5
"CATA","CATALS04D2","D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311387.5,3939952.5
"CATA","CATALS04D3","D",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311378.5,3939943.5
"CATA","CATALS04D4","D",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Cataloochee",3939968,311363,35.5854570169316,-83.0820076593496,1456,311387.5,3939943.5
"DBSP","DBSPLS04A1","A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268931.5,3938452.5
"DBSP","DBSPLS04A2","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268940.5,3938452.5
"DBSP","DBSPLS04A3","A",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268931.5,3938443.5
"DBSP","DBSPLS04A4","A",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268940.5,3938443.5
"DBSP","DBSPLS04B1","B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268971.5,3938452.5
"DBSP","DBSPLS04B2","B",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268980.5,3938452.5
"DBSP","DBSPLS04B4","B",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268971.5,3938443.5
"DBSP","DBSPLS04C1","B",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268980.5,3938443.5
